0.32037,0.27213,0.29919,0.24721,0.30239
0.1503,0.17402,0.19502,0.34179,0.315
0.27981,0.092538,-0.38505,0.3617,0.18739
0.078876,0.02036,0.43269,-0.11942,0.17658
0.40538,0.17285,0.29818,0.35165,0.15319
0.039516,0.18526,0.065317,0.27691,0.35079
0.13217,0.14687,0.11855,0.25506,0.18175
0.35969,0.23884,0.44816,0.26369,0.21802
-0.035278,0.23477,0.035679,0.2703,-0.42392
0.081246,0.066603,0.10212,0.15499,0.13841
0.16486,0.15594,0.21308,0.067243,0.16644
0.0010826,-0.034431,0.084229,0.0032969,0.0099996
0.32025,0.15395,0.21307,0.26785,0.27976
0.039365,-0.023148,-0.11628,0.14534,0.061451
0.38386,0.13309,0.11554,0.14936,0.23623
0.26202,0.094445,0.090371,0.31149,0.1717
0.46888,0.39377,0.22186,0.12826,0.32408
0.053892,0.15179,0.16402,0.074471,0.25443
-0.28601,0.032951,-0.058787,-0.025359,0.17336
0.2123,-0.42536,-0.025173,0.17078,-0.020643
0.36073,0.32811,0.27776,0.25584,0.31669
0.4203,0.34708,0.35052,0.43227,0.28325
0.098822,0.22906,0.24617,0.15524,0.29603
-0.041778,0.10957,0.16455,0.16718,0.28198
0.21943,0.033684,0.10747,-0.031781,-0.078435
0.25326,0.19696,0.29049,0.3022,0.17178
0.042323,-0.1164,0.21656,0.35815,0.2596
0.28303,0.25571,0.21072,0.21537,0.1319
0.22906,0.30043,0.21546,-0.14006,0.28387
0.10621,0.25635,0.39026,0.10131,0.30665
-0.17939,0.18974,-0.0096562,-0.026887,0.20184
0.29091,0.30451,0.30543,-0.14808,0.16947
0.053264,-0.088608,0.20595,0.176,-0.11389
-0.30593,-0.10286,0.38861,0.59286,0.63214
0.037694,-0.10685,0.28,0.36791,-0.27748
-0.51548,-0.10322,-0.20881,0.72827,-0.077821
0.21322,0.25738,0.15708,0.099972,0.18759
0.099224,-0.11422,0.22481,0.125,-0.35674
-0.099995,0.20935,0.18288,-0.29366,-0.25369
0.31955,-0.23758,0.040813,-0.055022,0.079906
0.041296,0.1345,-0.001554,0.15912,0.1001
0.29418,0.051934,0.14938,0.27747,-0.025109
0.23843,0.16357,0.28723,0.13172,0.060309
0.20789,0.15353,0.17207,0.22406,0.13537
0.32461,0.073948,0.193,0.24331,0.20561
-0.047286,-0.05351,0.28546,0.032539,0.36027
0.39485,0.2706,-0.082018,0.16486,0.44348
